epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1155,0.76267,5.46022,0.01129,0.7679,0.16667,0.23514,0.23056,0.33569,11.667,0.00623,0.00010002,0.00010002,0.00010002
2,31.5393,0.65038,4.34723,0.00968,0.79256,0.38889,0.37328,0.36701,0.32359,8.75351,0.00648,0.000208128,0.000208128,0.000208128
3,46.8382,0.7346,4.88032,0.01259,0.84946,0.33333,0.4126,0.38065,0.37137,7.27371,0.00694,0.000306995,0.000306995,0.000306995
4,62.4214,0.75249,3.65614,0.01098,0.87982,0.38889,0.44176,0.41666,0.40308,6.85332,0.00841,0.000396619,0.000396619,0.000396619
5,78.3082,0.74418,3.13778,0.01021,0.92882,0.44444,0.47121,0.4295,0.44086,6.07591,0.0084,0.000477002,0.000477002,0.000477002
6,94.4597,0.78421,2.77659,0.01164,0.8364,0.5,0.46759,0.40361,0.57626,5.62861,0.01104,0.000548143,0.000548143,0.000548143
7,110.427,0.88068,2.94862,0.01468,0.8364,0.5,0.46759,0.40361,0.57626,5.62861,0.01104,0.000610042,0.000610042,0.000610042
8,127.085,0.99474,2.90971,0.0156,0.83288,0.33214,0.40996,0.34706,0.70053,5.49043,0.01353,0.000662699,0.000662699,0.000662699
9,142.78,0.77222,2.38663,0.01102,0.98772,0.44444,0.52896,0.46271,0.5588,4.90238,0.01016,0.000706115,0.000706115,0.000706115
10,158.738,0.85056,2.31867,0.01184,0.98772,0.44444,0.52896,0.46271,0.5588,4.90238,0.01016,0.000740288,0.000740288,0.000740288
11,174.957,0.78689,2.06374,0.01129,0.99592,0.5,0.54725,0.49503,0.47759,4.38929,0.00845,0.00076522,0.00076522,0.00076522
12,190.974,0.79609,2.4926,0.01517,0.99592,0.5,0.54725,0.49503,0.47759,4.38929,0.00845,0.000780909,0.000780909,0.000780909
13,207.865,0.78057,1.91465,0.01015,0.54722,1,0.995,0.88122,0.69422,3.93157,0.01293,0.000787357,0.000787357,0.000787357
14,224.59,0.84862,2.23083,0.0138,0.54722,1,0.995,0.88122,0.69422,3.93157,0.01293,0.000784564,0.000784564,0.000784564
15,240.347,0.84092,1.77229,0.01362,0.40096,0.92888,0.74625,0.62539,0.61795,3.60858,0.01151,0.000742815,0.000742815,0.000742815
16,257.439,0.64549,2.99708,0.01284,0.40096,0.92888,0.74625,0.62539,0.61795,3.60858,0.01151,0.000676802,0.000676802,0.000676802
17,274.064,0.58678,2.7243,0.00959,0.88812,0.44444,0.5765,0.46542,0.71543,3.26198,0.01328,0.000610789,0.000610789,0.000610789
18,289.223,0.66538,2.7311,0.01504,0.88812,0.44444,0.5765,0.46542,0.71543,3.26198,0.01328,0.000544776,0.000544776,0.000544776
19,304.399,0.66634,2.50475,0.01407,0.88812,0.44444,0.5765,0.46542,0.71543,3.26198,0.01328,0.000478762,0.000478762,0.000478762
20,320.18,0.74775,2.53779,0.01452,0.93944,0.5,0.58888,0.48887,0.68912,2.84685,0.01323,0.000412749,0.000412749,0.000412749
21,336.107,0.68976,2.15619,0.01425,0.93944,0.5,0.58888,0.48887,0.68912,2.84685,0.01323,0.000346736,0.000346736,0.000346736
22,351.613,0.55744,2.21701,0.00853,0.33436,0.75507,0.60807,0.53702,0.64135,2.65764,0.01168,0.000280723,0.000280723,0.000280723
23,366.8,0.77597,2.21718,0.02024,0.33436,0.75507,0.60807,0.53702,0.64135,2.65764,0.01168,0.00021471,0.00021471,0.00021471
24,382.358,0.53623,2.23229,0.01095,0.27738,0.5,0.60807,0.53367,0.63179,2.5715,0.01178,0.000148696,0.000148696,0.000148696
25,397.848,0.68849,2.37272,0.01489,0.27738,0.5,0.60807,0.53367,0.63179,2.5715,0.01178,8.26832e-05,8.26832e-05,8.26832e-05
